"Location","Sample","Antigen","Plate"
"21(1,E3)","RAM-002","AMA1","RTSS_Ahero_IgG3_3.21.24_Lowbeadtest"
"22(1,F3)","RAC-002-T01","pp28","RTSS_Ahero_IgG3_3.21.24_Lowbeadtest"
"23(1,G3)","RAC-002-T07","Schisto","RTSS_Ahero_IgG3_3.21.24_Lowbeadtest"
"24(1,H3)","RAC-002-T08","pp65","RTSS_Ahero_IgG3_3.21.24_Lowbeadtest"
"25(1,A4)","RAM-005","BSA","RTSS_Ahero_IgG3_3.21.24_Lowbeadtest"
"26(1,B4)","RAC-005-T01","MSP1","RTSS_Ahero_IgG3_3.21.24_Lowbeadtest"
"27(1,C4)","RAC-005-T08","HRPII","RTSS_Ahero_IgG3_3.21.24_Lowbeadtest"
"28(1,D4)","RAM-007","CelTos","RTSS_Ahero_IgG3_3.21.24_Lowbeadtest"
"29(1,E4)","RAC-007-T01","CSP","RTSS_Ahero_IgG3_3.21.24_Lowbeadtest"
"30(1,F4)","RAC-007-T07","PfGarp","RTSS_Ahero_IgG3_3.21.24_Lowbeadtest"
"31(1,G4)","RAC-007-T08","CSP","RTSS_Ahero_IgG3_3.21.24_Lowbeadtest"
"32(1,H4)","RAM-008","CelTos","RTSS_Ahero_IgG3_3.21.24_Lowbeadtest"
"33(1,A5)","RAC-008-T01","HRPII","RTSS_Ahero_IgG3_3.21.24_Lowbeadtest"
"34(1,B5)","RAC-008-T07","MSP1","RTSS_Ahero_IgG3_3.21.24_Lowbeadtest"
"35(1,C5)","RAC-008-T08","BSA","RTSS_Ahero_IgG3_3.21.24_Lowbeadtest"
"36(1,D5)","RAM-009","pp65","RTSS_Ahero_IgG3_3.21.24_Lowbeadtest"
"37(1,E5)","RAC-009-T01","Schisto","RTSS_Ahero_IgG3_3.21.24_Lowbeadtest"
"38(1,F5)","RAC-009-T07","pp28","RTSS_Ahero_IgG3_3.21.24_Lowbeadtest"
"39(1,G5)","RAC-009-T08","AMA1","RTSS_Ahero_IgG3_3.21.24_Lowbeadtest"
