"Location","Sample","AMA1","pp28","Schisto","pp65","BSA","MSP1","HRPII","CelTos","CSP","PfGarp","Plate","Standard"
"1(1,A1)","Background0","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"2(1,B1)","African-Mix-Standard1","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"3(1,C1)","African-Mix-Standard2","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"4(1,D1)","African-Mix-Standard3","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"5(1,E1)","African-Mix-Standard4","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"6(1,F1)","African-Mix-Standard5","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"7(1,G1)","African-Mix-Standard6","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"8(1,H1)","African-Mix-Standard7","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"9(1,A2)","Background0","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
"10(1,B2)","African-Mix-Standard1","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","Failed QC (standards)","RTSS_Ahero_IgA1.2_3.21.24_AM",""
