"Location","Sample","AMA1","pp28","Schisto","pp65","BSA","MSP1","HRPII","CelTos","CSP","PfGarp","Plate","Standard"
"1(1,A1)","Background0",236.5,21.5,-7,15,38,20,114,23,347,139,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"2(1,B1)","African-Mix-Standard1",7936.5,775,10,10,22,678,273,9,248,321,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"3(1,C1)","African-Mix-Standard2",4872,255,8,2,22,165,130,5,198,145,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"4(1,D1)","African-Mix-Standard3",2223,79.5,5.5,5,24,45.5,85.5,7,181.5,120.5,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"5(1,E1)","African-Mix-Standard4",1001,27,8,1,21,19,75,7,241,100.5,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"6(1,F1)","African-Mix-Standard5",393,15,2,6.5,29,18,85,8,188.5,96,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"7(1,G1)","African-Mix-Standard6",238,8,0,7,33,9,85,3,265,125,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"8(1,H1)","African-Mix-Standard7",309.5,18,-4,8,40,7,145.5,13,384.5,206,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"9(1,A2)","Background0",223,9.5,-20,-3,52,5,124,9,350,151,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"10(1,B2)","African-Mix-Standard1",8052,684,10,1,20,544,239.5,5,240,279,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"11(1,C2)","African-Mix-Standard2",5450.5,255.5,5,1,26,180,168,8,270,197,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"12(1,D2)","African-Mix-Standard3",2315,72.5,6.5,3.5,23.5,40.5,101.5,5.5,238.5,114.5,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"13(1,E2)","African-Mix-Standard4",1020,30.5,3,0,28,16,103.5,8.5,256,148.5,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"14(1,F2)","African-Mix-Standard5",370.5,19,7,7,27,13.5,87,9,203,88.5,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"15(1,G2)","African-Mix-Standard6",328,11.5,-11,-1,47,19,143.5,1,414,166,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"16(1,H2)","African-Mix-Standard7",288,13,-5,6,40,8,120,19,295,116.5,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"17(1,A3)","Healthy-control-negative",156,4,6,8,26,8,81,9,236.5,114.5,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
"18(1,B3)","Healthy-control-negative",143,10,2,6,26,7,78,3,230,94,"RTSS_Ahero_IgG1_3.20.24_MK","AMA1"
