"Location","Sample","AMA1","PP28","Schisto","PP65","BSA","MSP1","HRPII","CelTos","CSP","PfGarp","Plate","Standard"
"1(1,A1)","Background0",0,5,16,2,4,3,0,2,1,0.5,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"2(1,B1)","African-Mix-Standard01",647.5,11,24,4,6,39,1933.5,4,54,19.5,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"3(1,C1)","African-Mix-Standard02",258,7,21,3,7,20,791,3,26,11,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"4(1,D1)","African-Mix-Standard03",100,6,17,2,7,11,309,3,12.5,5,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"5(1,E1)","African-Mix-Standard04",40,5,16,3,4,7,111,2.5,7,3,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"6(1,F1)","African-Mix-Standard05",16,6,17,3,4,5,46,2,5,3,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"7(1,G1)","African-Mix-Standard06",6,4,14,2,5,4,16,1,3,0,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"8(1,H1)","African-Mix-Standard07",4,5,16.5,2,4,3,8,2,2,1,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"9(1,A2)","Background0",-1,4,13.5,1,5,2,-1,1,0,-1,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"10(1,B2)","African-Mix-Standard01",587,12,27,5,5,39,1822,6,46.5,22,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"11(1,C2)","African-Mix-Standard02",252.5,9,21,3,6,20,783,3,22,10,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"12(1,D2)","African-Mix-Standard03",94,6,17,3,5,10,292,2,11.5,5,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"13(1,E2)","African-Mix-Standard04",35,6,17,3,4,7,106.5,3,7,4,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"14(1,F2)","African-Mix-Standard05",14,5,16,3,4,6,43.5,2,5,2,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"15(1,G2)","African-Mix-Standard06",6,5,15,3,4,4,16,2,2,1,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"16(1,H2)","African-Mix-Standard07",3,5,15,3,4,4,8,3,2,1,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"17(1,A3)","Healthy-control-negative",2.5,5,15.5,1.5,5,3,0,2,27,6,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"18(1,B3)","Healthy-control-negative",3,6,16,3,4,4,1,2.5,28,9,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"19(1,C3)","RCM-002",7333,173,20,2,8,62,614,6,10,17,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"20(1,D3)","RCC-002-T01",82,12,17,5,5,7,3,5,10,1,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"21(1,E3)","RCC-002-T07",38,15,14,6,8,9,4,12,11285,7,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
"22(1,F3)","RCC-002-T08",10,37,15,10,6,26,8,15,632.5,5,"RTSS_Chul.(SET1)_IgG3_3.23.24_AK","AMA1; HRPII"
