"Location","Sample","AMA1","pp28","Schisto","pp65","BSA","MSP1","HRPII","CelTos","CSP","PfGarp","Plate","Standard"
"1(1,A1)","Background0",363,15,13,8,25,7.5,21,24,260.5,122,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"2(1,B1)","African-Mix-Standard01",5658,668.5,24,4,17,534,73.5,19,-14,176,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"3(1,C1)","African-Mix-Standard02",3759,228.5,20,-1,18,161,52,19,216,149,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"4(1,D1)","African-Mix-Standard03",2014,89,18,2,23,50,35,26,333,159,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"5(1,E1)","African-Mix-Standard04",992,33,15,5,24,16,29,23,344,130,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"6(1,F1)","African-Mix-Standard05",618.5,20,11,2,27,9,23.5,29,361,155.5,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"7(1,G1)","African-Mix-Standard06",442.5,16,15,8,22,11,28,28,420,149.5,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"8(1,H1)","African-Mix-Standard07",470,17.5,18,8,32,9,28,34,333,148.5,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"9(1,A2)","Background0",449.5,15.5,13,9,28,6,24,22,501,151,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"10(1,B2)","African-Mix-Standard01",6941,606,23,4,15,500.5,93,17,323.5,225,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"11(1,C2)","African-Mix-Standard02",4148,222,18,5,20,148,53.5,17,181,147.5,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"12(1,D2)","African-Mix-Standard03",1996,72.5,19,5,17,47,31,16,330,138.5,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"13(1,E2)","African-Mix-Standard04",1016.5,25,15,5,19,14,23,18,436.5,129,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"14(1,F2)","African-Mix-Standard05",601,21.5,18,7,23,8.5,26,23,372,146,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"15(1,G2)","African-Mix-Standard06",474.5,22,12.5,5.5,27.5,11.5,28.5,27.5,382.5,153,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"16(1,H2)","African-Mix-Standard07",404.5,18,14,7.5,26,5,28,32,394,155,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"17(1,A3)","Healthy-control-negative",689,40,36.5,15.5,52.5,19.5,42.5,50.5,557,290.5,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
"18(1,B3)","Healthy-control-negative",244,7,20,6,18,9,9,16,302,89,"RTSS_Chul.(SET2)_IgG1_3.25.24_MK","AMA1"
